TypeName,BranchName,Buy,Sell,date
SJC,Miền Tây,131300.0,134300.0,2025-09-11 13:12:47
SJC,Miền Tây,130900.0,134300.0,2025-09-11 15:01:32
SJC,Miền Tây,130900.0,133900.0,2025-09-11 15:02:56
SJC,Miền Tây,130500.0,133900.0,2025-09-11 16:16:05
SJC,Miền Tây,130500.0,133500.0,2025-09-11 16:16:08
SJC,Miền Tây,130300.0,133500.0,2025-09-11 16:41:14
SJC,Miền Tây,130300.0,133300.0,2025-09-11 16:41:17
SJC,Tây Nguyên,133300.0,135300.0,2025-09-11 08:15:32
SJC,Tây Nguyên,133300.0,135300.0,2025-09-11 08:15:35
SJC,Tây Nguyên,133300.0,135000.0,2025-09-11 10:30:16
SJC,Tây Nguyên,133000.0,135000.0,2025-09-11 10:30:19
SJC,Tây Nguyên,132500.0,135000.0,2025-09-11 10:42:40
SJC,Tây Nguyên,132300.0,135000.0,2025-09-11 10:46:03
SJC,Tây Nguyên,132300.0,134800.0,2025-09-11 10:46:08
SJC,Tây Nguyên,131300.0,134800.0,2025-09-11 13:12:43
SJC,Tây Nguyên,131300.0,134300.0,2025-09-11 13:12:47
SJC,Tây Nguyên,130900.0,134300.0,2025-09-11 15:01:32
SJC,Tây Nguyên,130900.0,133900.0,2025-09-11 15:02:56
SJC,Tây Nguyên,130500.0,133900.0,2025-09-11 16:16:05
SJC,Tây Nguyên,130500.0,133500.0,2025-09-11 16:16:08
SJC,Tây Nguyên,130300.0,133500.0,2025-09-11 16:41:14
SJC,Tây Nguyên,130300.0,133300.0,2025-09-11 16:41:17
SJC,Đông Nam Bộ,133300.0,135300.0,2025-09-11 08:15:32
SJC,Đông Nam Bộ,133300.0,135300.0,2025-09-11 08:15:35
SJC,Đông Nam Bộ,133300.0,135000.0,2025-09-11 10:30:16
SJC,Đông Nam Bộ,133000.0,135000.0,2025-09-11 10:30:19
SJC,Đông Nam Bộ,132500.0,135000.0,2025-09-11 10:42:40
SJC,Đông Nam Bộ,132300.0,135000.0,2025-09-11 10:46:03
SJC,Đông Nam Bộ,132300.0,134800.0,2025-09-11 10:46:08
SJC,Đông Nam Bộ,131300.0,134800.0,2025-09-11 13:12:43
SJC,Đông Nam Bộ,131300.0,134300.0,2025-09-11 13:12:47
SJC,Đông Nam Bộ,130900.0,134300.0,2025-09-11 15:01:32
SJC,Đông Nam Bộ,130900.0,133900.0,2025-09-11 15:02:56
SJC,Đông Nam Bộ,130500.0,133900.0,2025-09-11 16:16:05
SJC,Đông Nam Bộ,130500.0,133500.0,2025-09-11 16:16:08
SJC,Đông Nam Bộ,130300.0,133500.0,2025-09-11 16:41:14
SJC,Đông Nam Bộ,130300.0,133300.0,2025-09-11 16:41:17
SJC,TPHCM,130300.0,133300.0,2025-09-12 08:13:46
SJC,TPHCM,129500.0,133300.0,2025-09-12 08:29:06
SJC,TPHCM,129500.0,132800.0,2025-09-12 08:29:09
SJC,TPHCM,129000.0,132800.0,2025-09-12 09:28:27
SJC,TPHCM,129000.0,132600.0,2025-09-12 09:28:28
SJC,TPHCM,129000.0,132400.0,2025-09-12 09:31:15
SJC,TPHCM,128400.0,132400.0,2025-09-12 09:31:18
SJC,TPHCM,128400.0,131900.0,2025-09-12 13:11:59
SJC,TPHCM,128400.0,131400.0,2025-09-12 13:24:37
SJC,Hà Nội,130300.0,133300.0,2025-09-12 08:13:46
SJC,Hà Nội,129500.0,133300.0,2025-09-12 08:29:06
SJC,Hà Nội,129500.0,132800.0,2025-09-12 08:29:09
SJC,Hà Nội,129000.0,132800.0,2025-09-12 09:28:27
SJC,Hà Nội,129000.0,132600.0,2025-09-12 09:28:28
SJC,Hà Nội,129000.0,132400.0,2025-09-12 09:31:15
SJC,Hà Nội,128400.0,132400.0,2025-09-12 09:31:18
SJC,Hà Nội,128400.0,131900.0,2025-09-12 13:11:59
SJC,Hà Nội,128400.0,131400.0,2025-09-12 13:24:37
SJC,Đà Nẵng,130300.0,133300.0,2025-09-12 08:13:46
SJC,Đà Nẵng,129500.0,133300.0,2025-09-12 08:29:06
SJC,Đà Nẵng,129500.0,132800.0,2025-09-12 08:29:09
